OBJECTID,Name,CreekID,Total_m
1,Rock Creek,CC01,6443.08290956000
2,Oyster Creek,CC02,10175.16664410000
3,Buck Creek,CC03,2251.18841316000
4,Buck Creek,CC04,1742.19139267000
5,Coral Creek,CC05,7046.53616519000
6,Catfish Creek,CC06,6576.49880106000
7,,CC07,1222.89565812000
8,Big Muddy Creek,CC08,1496.78529250000
9,,CC09,1977.52690499000
10,Trout Creek,CC10,11561.82861900000
11,,CC100,2314.12730678000
12,,CC101,1503.85713903000
13,,CC102,2378.08711051000
14,,CC103,1857.79299046000
15,Lee Branch,CC104,12628.12432440000
16,,CC105,9637.87579591000
0,Elkcam Waterway,CC106,2305.23772763000
0,Olman Waterway,CC107,1305.09412590000
0,Desoto Canal,CC108,1304.59670942000
56,,CC109,1547.65541021000
56,,CC110,1106.43257330000
58,,CC111,3290.41654498000
17,Rock Creek,CC15,5442.84100666000
18,Apollo Waterway,CC16,12571.58488060000
19,,CC17,2881.82271862000
20,Sam Knight Creek,CC18,4931.81923372000
21,Sam Knight Creek,CC19,2659.60474429000
22,,CC20,2053.42806962000
23,Huckaby Creek,CC21,2470.04972180000
24,,CC22,896.58039388800
25,,CC23,1288.07928435000
26,,CC24,1656.09717791000
27,,CC25,1343.74189102000
28,,CC26,497.14623150700
29,,CC27,2206.76303433000
30,,CC28,860.46794481800
31,,CC29,964.03126442200
32,,CC30,3699.62654054000
33,,CC31,1699.11829144000
34,Little Alligator Creek,CC34,6905.40134199000
35,,CC36,3290.32377840000
36,,CC37,2367.46420794000
37,,CC40,1436.96571521000
38,,CC41,1258.83241012000
39,,CC42,2390.73908646000
40,,CC44,794.12618586200
41,,CC45,5296.38592236000
42,,CC46,1296.41915320000
43,,CC47,1617.09150231000
44,,CC48,9413.72617459000
45,,CC49,2873.36651842000
46,,CC50,4214.99303215000
47,,CC51,1690.83381323000
48,,CC52,1588.27951912000
49,Myrtle Slough,CC53,7362.44127279000
50,,CC54,2082.15585083000
51,,CC55,1676.67416920000
52,,CC56,1273.90874175000
53,North Fork Alligator Creek,CC57,6663.74427145000
54,,CC61,2555.91422733000
55,,CC62,1766.82172461000
56,,CC63,1212.48521617000
57,North Fork Alligator Creek,CC64,5681.45320719000
58,Alligator Creek,CC65,13876.70704860000
59,Whidden Branch/Alligator Creek,CC66,27428.18424670000
60,South Silcox Creek,CC67,7344.14119924000
61,Big Mound Creek,CC68,1479.09040443000
62,,CC69,14697.86441740000
63,Pirate Canal,CC70,5401.52477833000
64,,CC71,281.17058792000
65,Bear Branch,CC72,2799.92229032000
66,Hog Branch,CC73,3260.49144221000
67,Whidden Creek,CC74,5868.45041478000
68,,CC75,2053.69783054000
69,,CC76,1651.32330784000
70,Lemon Creek,CC77,1711.12518748000
71,,CC78,744.97836564300
72,,CC79,484.08022826800
73,,CC80,1348.30366176000
74,,CC81,2495.74530909000
75,,CC82,1704.99706128000
76,,CC83,1810.63599850000
77,,CC84,4188.93292596000
78,,CC85,1189.77472295000
79,,CC86,2065.79070275000
80,,CC87,1570.98156139000
81,,CC88,890.12741026400
82,,CC89,683.98235978000
83,,CC90,709.28058778800
84,,CC91,2087.91661564000
85,Flopbuck Creek,CC92,1296.46558440000
86,,CC93,503.05662122800
87,,CC94,1072.61231603000
88,,CC95,562.81381943600
89,,CC96,682.60914190000
90,,CC97,641.97644044700
91,,CC98,807.02993525000
92,,CC99,696.68368634800
93,,DC01,8238.20933198000
94,,DC02,2346.46709802000
95,,DC03,2735.38093996000
96,,DC04,4971.95750808000
97,,DC05,1217.32727911000
98,,DC06,2257.29553006000
99,,DC07,8289.10727241000
100,,DC08,947.77073481700
101,,DC09,3031.58665050000
102,Thornton Branch,DC10,10878.98252490000
103,,DC11,1757.11219467000
104,Double Branch Creek,HC01,8100.37905791000
105,,HC02,1826.13145501000
106,Channel A,HC03,7392.89770466000
107,,HC04,1913.25437618000
108,Rocky Creek/Channel G,HC05,16343.89076870000
109,Woods Creek,HC06,2055.53166219000
110,Peppermound Creek,HC07,2358.90533755000
111,Sweetwater Creek,HC08,12877.08143890000
112,Fish Creek,HC09,7811.17220468000
113,Lemon Street Ditch,HC10,2454.68001116000
114,,HC13,2675.81732079000
115,,HC14,1929.05368503000
116,,HC15,2151.29629230000
117,Ironhead Creek,HC16,3750.46653133000
118,Delaney Creek,HC17,14908.87312180000
119,Port Sutton Ditch,HC18,2696.99043619000
120,Verger Creek,HC19,3016.09902919000
121,Delaney Creek Popoff,HC20,12871.45648250000
122,North Archie Creek,HC21,6176.94042189000
123,South Archie Creek,HC22,8368.61050583000
124,Buckhorn Creek,HC23,2112.38919784000
125,Rice Creek,HC24,3058.20845955000
126,Bullfrog Creek,HC25,21907.93518440000
127,Jackson Branch,HC26,1629.25410922000
