FID_TidalC,OBJECTID,Name,CreekID,Total_m,slope,LDI_WS,WS_SoilA,WS_Soilb,WS_Soilc,WS_Soild,WS_Soil_,phos_wbid,Pass_Dist_,TN_UAL,TP_UAL,H2o_UAL,TN_Load,TP_Load,H2o_Load,Shape_Leng,LDI_Buffer,Class,Acres_Buff,Acres_WS,FID_WBID_R,OBJECTID_1,FID_Master,HUC,WBID,DISTRICT,PLANUNIT,GROUP_NUM,GROUP_NAME,BASIN_1,WBUNIT,BODY,CLASS_1,CHANGES,WBID_Edits,Miles,ParentWBID,areaPH,Acres,Shape_Le_1,Shape_Area,OpenWater
0,1,Rock Creek,CC01,6444.88998100000,0.00001233120,3.54519048940,0.04413207650,0.02082417760,,0.77454015630,0.16050358960,632.72200000000,3410.46941200000,1.98251619690,0.34286367510,2025.29129800000,28968.87180700000,5009.98370990000,29593909.03200000000,6443.08290956000,3.67381345100,D,89.89365800600,14612.17409100000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,
0,1,Rock Creek,CC01,6444.88998100000,0.00001233120,3.54519048940,0.04413207650,0.02082417760,,0.77454015630,0.16050358960,632.72200000000,3410.46941200000,1.98251619690,0.34286367510,2025.29129800000,28968.87180700000,5009.98370990000,29593909.03200000000,6443.08290956000,3.67381345100,D,89.89365800600,14612.17409100000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,
1,2,Oyster Creek,CC02,10176.19366000000,0.00000632856,3.54519048940,0.04413207650,0.02082417760,,0.77454015630,0.16050358960,632.72200000000,2712.00337200000,1.98251619690,0.34286367510,2025.29129800000,28968.87180700000,5009.98370990000,29593909.03200000000,10175.16664410000,5.22514465210,D,196.68129129000,14612.17409100000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,
1,2,Oyster Creek,CC02,10176.19366000000,0.00000632856,3.54519048940,0.04413207650,0.02082417760,,0.77454015630,0.16050358960,632.72200000000,2712.00337200000,1.98251619690,0.34286367510,2025.29129800000,28968.87180700000,5009.98370990000,29593909.03200000000,10175.16664410000,5.22514465210,D,196.68129129000,14612.17409100000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,
2,3,Buck Creek,CC03,2250.04156710000,0.00001384700,3.84050231060,0.04102488720,0.12511327360,,0.66621710030,0.16764473880,632.72200000000,2411.29538500000,1.98251619690,0.34286367510,2025.29129800000,41592.27996400000,7193.12255110000,42489681.95500000000,2251.18841316000,1.17633380260,C,21.29373565000,20979.54106500000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,
2,3,Buck Creek,CC03,2250.04156710000,0.00001384700,3.84050231060,0.04102488720,0.12511327360,,0.66621710030,0.16764473880,632.72200000000,2411.29538500000,1.98251619690,0.34286367510,2025.29129800000,41592.27996400000,7193.12255110000,42489681.95500000000,2251.18841316000,1.17633380260,C,21.29373565000,20979.54106500000,6275,6253,2661,03100201,2068,SD,Lemon Bay,Group 2,Charlotte Harbor,BUCK CREEK,sq. miles,ESTUARY,3M,,,0.37493000000,,44694966.87320000000,11044.36683890000,31578.07166630000,44694966.87320000000,
3,4,Buck Creek,CC04,1742.24046020000,0.00000000000,3.84050231060,0.04102488720,0.12511327360,,0.66621710030,0.16764473880,632.72200000000,3313.79786600000,0.75311658560,0.09225065030,3993.23897170000,15800.04033300000,1935.37630620000,83776320.98600000000,1742.19139267000,5.04827357340,D,8.67770746820,20979.54106500000,6283,6261,5201,03100201,2078A,SD,Lemon Bay,Group 2,Charlotte Harbor,CORAL CREEK (WEST BRANCH),sq. miles,ESTUARY,2,"Waterbody Class changed from 3M to 2, Run 55 - D.Tyler",,0.40557000000,,7033603.91648000000,1738.04137887000,17925.86912860000,7033603.91648000000,
4,5,Coral Creek,CC05,7048.92015300000,0.00000603365,3.84050231060,0.04102488720,0.12511327360,,0.66621710030,0.16764473880,632.72200000000,3540.76907500000,0.75311658560,0.09225065030,3993.23897170000,15800.04033300000,1935.37630620000,83776320.98600000000,7046.53616519000,1.38101003300,C,98.89438091800,20979.54106500000,4796,4657,4657,03100201,2078B,SD,Lemon Bay,Group 2,Charlotte Harbor,CORAL CREEK (EAST BRANCH),sq. miles,ESTUARY,2,"Waterbody Name revised, Run 34; Waterbody Class changed from 3M to 2, Run 55 - D.Tyler",,0.25372000000,,10926695.57960000000,2700.04527936000,15632.45947210000,10926695.57960000000,
4,5,Coral Creek,CC05,7048.92015300000,0.00000603365,3.84050231060,0.04102488720,0.12511327360,,0.66621710030,0.16764473880,632.72200000000,3540.76907500000,0.75311658560,0.09225065030,3993.23897170000,15800.04033300000,1935.37630620000,83776320.98600000000,7046.53616519000,1.38101003300,C,98.89438091800,20979.54106500000,6283,6261,5201,03100201,2078A,SD,Lemon Bay,Group 2,Charlotte Harbor,CORAL CREEK (WEST BRANCH),sq. miles,ESTUARY,2,"Waterbody Class changed from 3M to 2, Run 55 - D.Tyler",,0.40557000000,,7033603.91648000000,1738.04137887000,17925.86912860000,7033603.91648000000,
5,6,Catfish Creek,CC06,5966.92050560000,0.00000000000,2.18267278310,0.00251746430,0.14581420230,,0.74609596040,0.10557237290,632.72200000000,3714.23577300000,0.75311658560,0.09225065030,3993.23897170000,21310.14811500000,2610.31964950000,112992484.27000000000,5962.68667274000,1.11807506830,C,93.10382731200,28295.94849400000,3292,3141,4660,03100103,2065C,SD,Charlotte Harbor Proper,Group 2,Charlotte Harbor,CHARLOTTE HARBOR (MIDDLE SEGMENT2),sq. miles,ESTUARY,2,"Waterbody Name revised, Run 34","WBID modified, Run 42 - B.Ralys",14.94821000000,,54433251.69280000000,13450.74942400000,52351.36182079990,54433251.69280000000,
