Name,CreekID,Total_m,WBID,CLASS,WBIDLen_m
Rock Creek,CC01,6443.08291,2052,3M,6069.93204
Rock Creek,CC01,6443.08291,1983B,2,373.1508699
Oyster Creek,CC02,10175.16664,1983B,2,285.8520227
Oyster Creek,CC02,10175.16664,2067,3M,9889.314621
Buck Creek,CC03,2251.188413,1983B,2,316.0468081
Buck Creek,CC03,2251.188413,2068,3M,1935.141605
Buck Creek,CC04,1742.191393,2078A,2,1742.191393
Coral Creek,CC05,7046.536165,2078B,2,6848.504687
Coral Creek,CC05,7046.536165,2078A,2,198.0314778
Catfish Creek,CC06,6576.498801,2065C,2,3277.746678
Catfish Creek,CC06,6576.498801,2080,3M,3298.752123
,CC07,1222.895658,2066,3M,995.2037745
,CC07,1222.895658,2065C,2,227.6918836
Big Muddy Creek,CC08,1496.785293,2066,3M,1496.785293
,CC09,1977.526905,2066,3M,1977.526905
Trout Creek,CC10,11561.82862,2066,3M,10608.67447
Trout Creek,CC10,11561.82862,1991A,2,953.1541505
,CC100,2314.127307,2056E,3M,2309.37541
,CC100,2314.127307,2056B,3M,4.751896572
,CC101,1503.857139,2056E,3M,1503.857139
,CC102,2378.087111,2056E,3M,2378.087111
,CC103,1857.79299,2056C1,3M,1857.79299
Lee Branch,CC104,12628.12432,2035,3F,12628.12432
,CC105,9637.875796,2041A,3M,6009.581741
,CC105,9637.875796,2041B,1,3628.294055
Rock Creek,CC15,5442.841007,2045,3M,5106.474909
Rock Creek,CC15,5442.841007,1991B,2,336.3660979
Apollo Waterway,CC16,12571.58488,2043,3M,11974.77013
Apollo Waterway,CC16,12571.58488,1991B,2,442.626269
Apollo Waterway,CC16,12571.58488,2010B,3F,147.1915636
Apollo Waterway,CC16,12571.58488,2025,3F,6.996918699
,CC17,2881.822719,1991B,2,2419.882767
,CC17,2881.822719,1991A,2,461.939952
Sam Knight Creek,CC18,4931.819234,2048A,3M,4931.819234
Sam Knight Creek,CC19,2659.604744,2048A,3M,2659.604744
,CC20,2053.42807,2055,2,41.67760185
,CC20,2053.42807,2048A,3M,2011.750468
Huckaby Creek,CC21,2470.049722,2048B,3M,2122.05361
Huckaby Creek,CC21,2470.049722,2055,2,347.9961121
,CC22,896.5803939,2048C,3M,117.3658741
,CC22,896.5803939,2055,2,779.2145198
,CC23,1288.079284,2055,2,1107.905168
,CC23,1288.079284,2047,3M,180.1741163
,CC24,1656.097178,2055,2,1539.982205
,CC24,1656.097178,2047,3M,116.1149731
,CC25,1343.741891,2060A1,2,1343.741891
,CC26,497.1462315,2060A1,2,497.1462315
,CC28,860.4679448,2060,3M,860.4679448
,CC29,964.0312644,2047,3M,221.3959992
,CC29,964.0312644,2060,3M,742.6352652
,CC30,3699.626541,2056D,3M,89.30454918
,CC30,3699.626541,2047,3M,2654.419776
,CC30,3699.626541,2060,3M,955.9022153
,CC31,1699.118291,2046,3M,1699.118291
Little Alligator Creek,CC34,6905.401342,2056D,3M,12.19614789
Little Alligator Creek,CC34,6905.401342,2056E,3M,6893.205194
,CC36,3290.323778,2056D,3M,13.07995758
,CC36,3290.323778,2056E,3M,3277.243821
,CC37,2367.464208,2056E,3M,2367.464208
,CC40,1436.965715,2056E,3M,1436.965715
,CC41,1258.83241,2056E,3M,1258.83241
,CC42,2390.739086,2056E,3M,2390.739086
,CC44,794.1261859,2056C2,3M,794.1261859
,CC45,5296.385922,2056E,3M,111.3180422
,CC45,5296.385922,2056C2,3M,5185.06788
,CC46,1296.419153,2056C2,3M,1296.419153
,CC47,1617.091502,2056C1,3M,1617.091502
,CC48,9413.726175,2065C,2,3198.93276
,CC48,9413.726175,2080,3M,2108.127562
,CC48,9413.726175,2087,3M,4106.665853
,CC49,2873.366518,1991B,2,2873.366518
,CC50,4214.993032,2055,2,93.32787197
,CC50,4214.993032,2053,2,1007.566709
,CC50,4214.993032,1991A,2,3114.098451
,CC51,1690.833813,2041A,3M,1690.833813
,CC52,1588.279519,2041A,3M,1588.279519
Myrtle Slough,CC53,7362.441273,2054,3F,6996.636423
Myrtle Slough,CC53,7362.441273,2041A,3M,365.8048495
,CC54,2082.155851,2041A,3M,2082.155851
,CC55,1676.674169,2059,3M,1676.674169
,CC56,1273.908742,2059,3M,1273.908742
North Fork Alligator Creek,CC57,6663.744271,2062,3F,3218.688705
North Fork Alligator Creek,CC57,6663.744271,2063,3M,3445.055566
,CC61,2555.914227,2073,3M,2543.789417
,CC61,2555.914227,2065A,2,12.12480996
,CC62,1766.821725,2073,3M,1766.821725
North Fork Alligator Creek,CC64,5681.453207,2063,3M,3181.391736
North Fork Alligator Creek,CC64,5681.453207,2074B,3M,2500.061471
South Silcox Creek,CC67,7344.141199,2081,3F,6130.034684
South Silcox Creek,CC67,7344.141199,2084,3F,299.2706868
South Silcox Creek,CC67,7344.141199,2065B,2,914.8358288
Big Mound Creek,CC68,1479.090404,2084,3F,1455.242637
Big Mound Creek,CC68,1479.090404,2065B,2,23.84776738
,CC69,14697.86442,2084,3F,2868.981181
,CC69,14697.86442,2086,3F,7345.695935
,CC69,14697.86442,2088,3F,4483.187302
Pirate Canal,CC70,5401.524778,2082A,3F,5387.600486
Pirate Canal,CC70,5401.524778,2065B,2,13.92429184
,CC71,281.1705879,2065B,2,281.1705879
Bear Branch,CC72,2799.92229,2094,3F,2799.92229
Hog Branch,CC73,3260.491442,2093A,3F,3260.491442
Whidden Creek,CC74,5868.450415,2079,2,5868.450413
,CC75,2053.697831,2065B,2,2053.697831
,CC76,1651.323308,2066,3M,531.6303633
,CC76,1651.323308,2065B,2,1119.692945
Lemon Creek,CC77,1711.125187,1983B,2,0.355634324
Lemon Creek,CC77,1711.125187,2076,3M,1710.769553
,CC78,744.9783656,2089,2,744.9783656
,CC79,484.0802283,2066,3M,3.966253356
,CC79,484.0802283,2065C,2,480.1139749
,CC80,1348.303662,2065C,2,1348.303662
,CC81,2495.745309,2065C,2,2495.745309
,CC82,1704.997061,2065C,2,1704.997061
,CC83,1810.635999,2065C,2,1810.635999
,CC84,4188.932926,2065B,2,4188.932926
,CC85,1189.774723,2065B,2,1189.774723
,CC86,2065.790703,2066,3M,1102.8609
,CC86,2065.790703,2065A,2,962.9298031
,CC87,1570.981561,2066,3M,1570.981561
,CC88,890.1274103,1991B,2,890.1274103
,CC89,683.9823598,1991B,2,683.9823598
,CC90,709.2805878,2055,2,709.2805878
,CC91,2087.916616,2048B,3M,1043.794295
,CC91,2087.916616,2055,2,775.3590205
,CC91,2087.916616,2048A,3M,268.7632999
Flopbuck Creek,CC92,1296.465584,2048C,3M,796.0128418
Flopbuck Creek,CC92,1296.465584,2055,2,500.4527426
,CC93,503.0566212,2048C,3M,163.3311272
,CC93,503.0566212,2055,2,339.725494
,CC94,1072.612316,2055,2,935.8401724
,CC94,1072.612316,2047,3M,136.7721436
,CC96,682.6091419,2056E,3M,682.6091419
,CC97,641.9764404,2056E,3M,641.9764404
,CC98,807.0299353,2056D,3M,21.25141665
,CC98,807.0299353,2056E,3M,785.7785186
,CC99,696.6836863,2056E,3M,696.6836863
,DC01,8238.209332,1623A,3F,142.3972794
,DC01,8238.209332,2033,3F,8095.812053
,DC03,2735.38094,1623A,3F,45.78994365
,DC03,2735.38094,2028,3F,2689.590996
,DC04,4971.957508,1623B,3F,926.6900392
,DC04,4971.957508,1623A,3F,3239.46988
,DC04,4971.957508,1787A2,1,805.7975885
,DC05,1217.327279,2003,3F,1038.129085
,DC05,1217.327279,1787A2,1,179.1981943
,DC06,2257.29553,2003,3F,2062.896293
,DC06,2257.29553,1787A2,1,194.399237
,DC07,8289.107272,1623B,3F,8289.107272
,DC08,947.7707348,1623A,3F,947.7707348
,DC09,3031.586651,1623A,3F,2385.033686
,DC09,3031.586651,2008,3F,646.5529645
,DC11,1757.112195,2056C1,3M,1757.112195
Double Branch Creek,HC01,8100.379058,1513E,3F,4815.910184
Double Branch Creek,HC01,8100.379058,1513F,2,3284.468874
,HC02,1826.131455,1513E,3F,650.9693686
,HC02,1826.131455,1513F,2,1175.162086
Channel A,HC03,7392.897705,1507,3F,3532.603283
Channel A,HC03,7392.897705,1507A,2,3860.294422
,HC04,1913.254376,1563,2,680.0857223
,HC04,1913.254376,1581,2,1233.168654
Rocky Creek/Channel G,HC05,16343.89077,1558I,2,29.27225947
Rocky Creek/Channel G,HC05,16343.89077,1507,3F,5016.439729
Rocky Creek/Channel G,HC05,16343.89077,1516,3F,3137.287333
Rocky Creek/Channel G,HC05,16343.89077,1563,2,8160.891447
Woods Creek,HC06,2055.531662,1587A,3M,1632.583665
Woods Creek,HC06,2055.531662,1558I,2,19.12307767
Woods Creek,HC06,2055.531662,1563,2,403.8249191
Peppermound Creek,HC07,2358.905338,1577A,3M,2356.706803
Peppermound Creek,HC07,2358.905338,1558I,2,2.198534527
Sweetwater Creek,HC08,12877.08144,1601A,2,78.23394891
Sweetwater Creek,HC08,12877.08144,1570A,3M,5171.253583
Sweetwater Creek,HC08,12877.08144,1570,3F,7627.593907
Fish Creek,HC09,7811.172205,1594,3M,7811.172205
Lemon Street Ditch,HC10,2454.680011,1606,3M,2454.680011
,HC13,2560.395264,1584A1,3M,2530.823731
,HC13,2560.395264,1536E,3M,29.57153318
,HC14,1929.053685,1536A,3F,1808.065639
,HC14,1929.053685,1536E,3M,120.9880463
,HC15,2151.296292,1615,3M,1507.102783
,HC15,2151.296292,1536E,3M,644.1935093
Ironhead Creek,HC16,3750.466531,1615,3M,3750.466531
Delaney Creek,HC17,14908.87312,1605,3F,10994.87779
Delaney Creek,HC17,14908.87312,1605D,3M,3913.995332
Port Sutton Ditch,HC18,2696.990436,1636,3M,2596.0411
Port Sutton Ditch,HC18,2696.990436,1637,3M,100.9493364
Verger Creek,HC19,3016.099029,1636,3M,29.97482813
Verger Creek,HC19,3016.099029,1637,3M,2986.124201
Delaney Creek Popoff,HC20,12871.45648,1632,3M,9974.028195
Delaney Creek Popoff,HC20,12871.45648,1605,3F,2834.479704
Delaney Creek Popoff,HC20,12871.45648,1628,3F,8.677539807
Delaney Creek Popoff,HC20,12871.45648,1558E,3M,54.27104351
North Archie Creek,HC21,6176.940422,1632,3M,547.7234607
North Archie Creek,HC21,6176.940422,1628A,3M,1537.931885
North Archie Creek,HC21,6176.940422,1628,3F,3999.966817
North Archie Creek,HC21,6176.940422,1558E,3M,91.31825902
South Archie Creek,HC22,8368.610506,1628A,3M,3696.867724
South Archie Creek,HC22,8368.610506,1628,3F,4289.396362
South Archie Creek,HC22,8368.610506,1558E,3M,382.3464202
Buckhorn Creek,HC23,1869.963768,1635B,3F,1869.963768
Rice Creek,HC24,2917.94921,1659,3F,2917.94921
Bullfrog Creek,HC25,21907.93518,1666,3F,15855.90124
Bullfrog Creek,HC25,21907.93518,1666A,3M,4354.314527
Bullfrog Creek,HC25,21907.93518,1686,3F,648.156358
Bullfrog Creek,HC25,21907.93518,1688,3F,975.9476976
Bullfrog Creek,HC25,21907.93518,1558D,3M,73.61536695
Jackson Branch,HC26,1629.254109,1693,3M,1629.254109
Newman Branch,HC27,2237.556433,1708,3M,2097.399413
Newman Branch,HC27,2237.556433,1693,3M,140.1570207
Beever Creek,HC28,3920.956865,1712,3M,3920.956865
,HC29,7776.764435,1719,3F,7776.764435
,HC30,6929.465277,1725,3M,6929.465277
,HC31,2719.730105,1725,3M,2464.572883
,HC31,2719.730105,1736,3F,255.1572222
Wolf Branch,HC32,9964.086447,1725,3M,4433.709808
Wolf Branch,HC32,9964.086447,1736,3F,5418.8178
Wolf Branch,HC32,9964.086447,1558C,2,111.5588389
Marsh Branch,HC33,8932.206728,1747B,3F,2909.375379
Marsh Branch,HC33,8932.206728,1742A1,3F,114.5842182
Marsh Branch,HC33,8932.206728,1747A,3M,5908.247131
Curiosity Creek,HC34,7105.035261,1798,3F,849.1064666
Curiosity Creek,HC34,7105.035261,1792,3F,4105.229906
Curiosity Creek,HC34,7105.035261,1742C1,3M,2150.698888
,HC35,2790.336685,1780,3M,2790.336685
Wildcat Creek,HC36,4597.014656,1779,3M,13.13074566
Wildcat Creek,HC36,4597.014656,1780,3M,4583.883911
Sun City Slough,HC37,4946.680159,1771,3M,4898.977147
Sun City Slough,HC37,4946.680159,1742C1,3M,47.70301189
Cockroach Creek,HC38,7384.436153,1789,3M,2565.03042
Cockroach Creek,HC38,7384.436153,1788,3F,2556.51004
Cockroach Creek,HC38,7384.436153,1778,2,2262.895693
Piney Point Creek,HC39,17740.8983,1789,3M,9854.867405
Piney Point Creek,HC39,17740.8983,1792,3F,5839.236231
Piney Point Creek,HC39,17740.8983,1816,3F,1316.899239
Piney Point Creek,HC39,17740.8983,1797B,2,729.8954254
Coon Hammock Creek,HC40,2419.870676,1609,3M,2419.870676
,HC41,1822.096559,1621G,3M,1822.096559
Boat Bayou,HC42,1751.942106,1566,2,1751.942106
Gun Branch,HC44,765.6897642,1609,3M,765.6897642
John Branch,HC45,1127.321418,1609,3M,929.4584493
John Branch,HC45,1127.321418,1558G,2,197.862969
Multicolor Creek,HC46,914.3775368,1584A1,3M,914.3775368
Gibsonton Creek,HC48,2573.70288,1664,3M,2573.70288
Dug Creek,HC49,2200.443795,1676A,3M,2199.249729
Dug Creek,HC49,2200.443795,1558D,3M,1.194066455
Kitchen Branch,HC50,1016.814935,1682,3M,1016.320395
Kitchen Branch,HC50,1016.814935,1558D,3M,0.494540428
Sims Branch,HC51,1649.363729,1691,3M,1649.363729
Andrews Creek,HC52,1041.569451,1778,2,1041.569451
,HC53,1506.079451,1682,3M,1506.079451
Broad Creek,HC54,2211.083265,1609,3M,2211.083265
,LC01,3518.341973,2082B,3F,316.4623836
,LC01,3518.341973,2093A,3F,1356.779493
,LC01,3518.341973,2065D,2,52.77465029
,LC01,3518.341973,2082B1,3M,1792.325446
Yucca Pen Creek,LC02,6989.08152,2082B,3F,5076.446378
